"Activity.Label" "Subject" "Activity.Avg"
"WALKING_DOWNSTAIRS" 15 -0.114055542511411
"WALKING_DOWNSTAIRS" 16 -0.21577265313244
"WALKING_DOWNSTAIRS" 17 -0.233445826587078
"WALKING_DOWNSTAIRS" 18 -0.377526737575512
"WALKING_DOWNSTAIRS" 19 0.154941520892261
"WALKING_DOWNSTAIRS" 20 -0.0458055951405788
"WALKING_DOWNSTAIRS" 21 -0.139645365609202
"WALKING_DOWNSTAIRS" 22 -0.147381918801591
"WALKING_DOWNSTAIRS" 23 -0.00547247287462682
"WALKING_DOWNSTAIRS" 24 -0.241425533951455
"WALKING_DOWNSTAIRS" 25 -0.345951992614543
"WALKING_DOWNSTAIRS" 26 -0.175493103647397
"WALKING_DOWNSTAIRS" 27 -0.180615867943192
"WALKING_DOWNSTAIRS" 28 -0.139396563077246
"WALKING_DOWNSTAIRS" 29 -0.178812689061223
"WALKING_DOWNSTAIRS" 30 -0.217523391374438
"WALKING_UPSTAIRS" 1 -0.315336808393305
"WALKING_UPSTAIRS" 2 -0.27094863788048
"WALKING_UPSTAIRS" 3 -0.358357567758965
"WALKING_UPSTAIRS" 4 -0.341355950186464
"WALKING_UPSTAIRS" 5 -0.244346694233246
"WALKING_UPSTAIRS" 6 -0.189984813956898
"WALKING_UPSTAIRS" 7 -0.362851021783283
"WALKING_UPSTAIRS" 8 -0.146879782054871
"WALKING_UPSTAIRS" 9 -0.352322249173958
"WALKING_UPSTAIRS" 10 -0.214657479004489
"WALKING_UPSTAIRS" 11 -0.370962843516591
"WALKING_UPSTAIRS" 12 -0.354006222470134
"WALKING_UPSTAIRS" 13 -0.330641118753785
"WALKING_UPSTAIRS" 14 -0.111119139268373
"WALKING_UPSTAIRS" 15 -0.294341669544798
"WALKING_UPSTAIRS" 16 -0.382992324573922
"WALKING_UPSTAIRS" 17 -0.302507349895375
"WALKING_UPSTAIRS" 18 -0.42646923228292
"WALKING_UPSTAIRS" 19 -0.196891295749223
"WALKING_UPSTAIRS" 20 -0.205762872215166
"WALKING_UPSTAIRS" 21 -0.298692900152311
"WALKING_UPSTAIRS" 22 -0.191712185339628
"WALKING_UPSTAIRS" 23 -0.25943590535943
"WALKING_UPSTAIRS" 24 -0.362618588027219
"WALKING_UPSTAIRS" 25 -0.435418743421543
"WALKING_UPSTAIRS" 26 -0.330337988544182
"WALKING_UPSTAIRS" 27 -0.368009684288904
"WALKING_UPSTAIRS" 28 -0.323401541369843
"WALKING_UPSTAIRS" 29 -0.231956730511577
"WALKING_UPSTAIRS" 30 -0.33891298828135
